"nota","genotipo"
5,"2DEB00/ZTU7013"
2.5,"2DEB00/ZTU7026ZL.2"
3,"2DEB06/ZTU7026ZL.2"
3.5,"2DEB09/1PEB88"
3,"2DEB09/8DTB18"
2,"2DEB09/B7Y6Y842ZL.1"
2,"2DEB35/4DEB01"
6,"2DEB35/D1352"
3,"2DEB35/UBTTD400"
3,"2DEB35/UBTTD490"
3,"2DEB35/UBTTE410"
3,"2DEB35/UBTUD529"
5,"2DEB35/ZTU7013"
3,"2DEB35ZL.3/DBJKK3166"
2.5,"2DEB35ZL.3/DBJKK3175"
6,"2DEB95/UBTTD400"
6,"2DEB95/ZTU7013"
3,"2FEB21/WTP6741ZL.2"
2,"2FEB29/1SHB73"
3,"2FEB29/UBTTD400"
3,"2FEB29/UBTUD529"
4,"2FEB29/WTP6741ZL.2"
5,"2FEB29/ZTU7013"
6,"2FEB55/B7T7T812ZS.4"
6,"2FEB55/UBTLD127"
6,"2FEB59/UBTTD400"
3,"2FEB59/WYY8370"
6,"2FEB59/ZTU7013"
5,"2GEB02/WTP6741ZL.2"
5.5,"2GEB02/ZTU7026ZL.2"
3,"2GEB86/WTP6741ZL.2"
3,"2GRB10/ZTU7013"
2.5,"2PHB97ZS.0/2SHB03"
2,"2SHB03/1EEB17"
3,"2SHB03/D8BB55"
2,"2SHB03/WYY8370"
3.5,"2ZRB29ZS.0/2SHB03"
4,"2ZRB29ZS.0/8DTB18"
2,"2ZRB29ZS.0/ATTSS0018"
4,"2ZRB29ZS.0/BBJKX1003"
3,"2ZRB29ZS.0/CTI354"
5,"2ZRB29ZS.0/CTJ23"
2,"2ZRB29ZS.0/D1352"
2,"2ZRB29ZS.0/DJJTT0859"
2,"2ZRB29ZS.0/PEUTE046"
4.5,"2ZRB29ZS.0/PEYOB268"
3,"2ZRB29ZS.0/SHJ07"
4,"2ZRB29ZS.0/STT03"
4,"2ZRB29ZS.0/TCJ26"
2,"2ZRB29ZS.0/TST29"
2,"2ZRB29ZS.0/TTI87"
5,"2ZRB29ZS.0/UBTTD400"
4,"2ZRB29ZS.0/UBTTE410"
4,"2ZRB29ZS.0/UBYXG377"
2,"2ZRB29ZS.0/WXFC164"
4,"2ZRB29ZS.0/XJH51"
5,"2ZRB92ZS.0/UBTTD400"
5,"2ZRB92ZS.0/ZTU7013"
5.5,"2ZTB20/UBTUE177ZL.2"
2,"4DEB01/1DRB96"
2,"4DEB01/1YRB77ZS.0"
2,"4DEB01/1ZRB84ZS.0"
2,"4DEB01/2SHB03"
2,"4DEB01/8DTB18"
2,"4DEB01/UBYXG377"
2,"4DEB01/ZTU7026ZL.2"
4,"8AHB14/WTP6741ZL.2"
4.5,"8AHB18/UBTTD400"
3,"8AHB18/WTP6741ZL.2"
3,"8AHB57/ZTU7013"
2,"8AHB64/WTP6741ZL.2"
3.66666666666667,"8AHB64ZS.0/UBYYD760"
5.5,"8AHB79/ZTU7026ZL.2"
2.5,"8AHB80ZS.0/DBJKK3166"
2.5,"8AHB80ZS.0/DBJKK3175"
4.33333333333333,"8AHB80ZS.0/UBYYD760"
6,"8BHB31/WTP6741WT.0"
5,"8CEB45/1ZRB84ZS.0"
8,"8CEB45/ZTU7013"
5,"8CEB45/ZTU7026ZL.2"
5.5,"8CEB46/1YRB77ZS.0"
6.5,"8CEB46/ZTU7026ZL.2"
3,"8CEB47/1YRB77ZS.0"
6,"8CEB47/ZTU7026ZL.2"
2,"8CEB54/WTP6741ZL.2"
2,"8CHB55/2DEB35"
6,"8DTB18/1ZRB84ZS.0"
4,"8DTB18/UBTXF238ZL.0"
6,"8DTB18/WTP6741ZL.2"
2,"8DTB18/WYY8370"
4,"8FTB43/1YRB77ZS.0"
5,"8FTB43/1ZRB84ZS.0"
5,"8FTB43/2AHB26ZS.0"
4,"8FTB43/2SHB03"
3,"8FTB43/4DEB01"
6,"8FTB43/WTP6741ZL.2"
4,"8FTB43/ZTU7026ZL.2"
3,"8FTB73/1ZRB84ZS.0"
2,"8FTB73/4DEB01"
4,"8FTB73/WTP6741ZL.2"
7,"8FTB73/ZTU7013"
5,"8FTB73/ZTU7026ZL.2"
4,"8FTB79/1YRB77ZS.0"
4,"8FTB79/1ZRB84ZS.0"
3.5,"8FTB79/UBTXF238ZL.0"
3,"8FTB79/ZTU7013"
4.5,"8FTB79/ZTU7026ZL.2"
6,"8GTB80/UBTTD400"
5,"8GTB80/ZTU7013"
2,"8XHB62/WTP6741ZL.2"
3,"8XHB86ZS.0/DBJKK3166"
5.5,"8XHB86ZS.0/DBJKK3175"
8,"ACFXB447/B6T7T943ZS.2"
4,"ACFY8888/ZTU7026ZL.2"
5,"ACFYC479/B6T7T943ZS.2"
4,"ACTTC187/8AHB80ZS.0"
6,"ACTTC377BB.0/8AHB80ZS.0"
2,"ACTTC488ZS.0/WYFD153"
3,"ACTTC538ZL.0/DBJKK3166"
3,"ACTTC538ZL.0/DBJKK3175"
3,"ACTTE628ZS.0/8XHB78"
6,"ACTTE628ZS.0/ACYFC487"
7,"ACXXB229/UBTTD400"
4,"ACYF9776/UBTTD400"
5,"ACYFA187/ZTU7026ZL.2"
5,"ACYFA287/B6T7T943ZS.2"
2,"ACYFB828/WTP6741WT.0"
5,"ACYFB838/B6T7T943ZS.2"
5,"ACYFB838/B7T1C128ZS.1"
4,"ACYFB838/B7T7T812ZS.4"
4,"ACYFB838/PETTF126ZL.2"
2,"ACYFB848/1YRB77ZS.0"
2,"ACYFB848/B7T1C128ZS.1"
4,"ACYFB848/B7Y6Y842ZL.1"
4,"ACYFB848/PETTF126ZL.2"
