PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YF3_MM,,UR271681742,2,85,23,33,85,SX8394ZS.0,NS73VIP3,NS73VIP3,,22WNBPEYG6J1,,2,5,,,4,,,,,,,,,,,2,,,SX8394ZS.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YGA_MM,,UR271681757,2,70,20,8,70,SZD5211ZL.0,SZD5211ZL.0,SZD5211ZL.0,,22WNBPEYG6J1,,2,5,,,6,,,,,,,,,,,1,,,SZD5211ZL.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112897_MM,,UR271681660,3,167,40,32,167,SYN555 VIP3,NK555VIP3,NK555VIP3,,22WNBPEYG6J1,,2,5,,,4,,,,,,,,,,,2,,,SX8934ZS.0,,,,,,,,,,,,,9,,,,,,,,,10,-48.15128,-10.01226,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112YGC_MM,,UR271683216,3,150,40,9,1005,SZE6111ZL.0,SZE6111ZL.0,SZE6111ZL.0,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,SZE6111ZL.0 SYN,,,,,,,,,,,,,1,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YGB_MM,,UR271681806,1,21,11,1,21,SZE6111TG.0,SZE6111TG.0,SZE6111TG.0,,22WNBPEYG6J1,,2,5,,,3,,,,,,,,,,,1,,,SZE6111TG.0,60,,,,,,,,,,,,1,,,157,270,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YF4_MM,,UR271681810,1,17,10,32,17,SYN555 VIP3,NK555VIP3,NK555VIP3,,22WNBPEYG6J1,,2,5,,,3,,,,,,,,,,,2,,,SX8934ZS.0,59,,,,,,,,,,,,1,,,143,274,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YFT_MM,,UR271681807,1,20,10,8,20,SYB7361ZL.0,SYB7361ZL.0,SYB7361ZL.0,,22WNBPEYG6J1,,3,5,,,3,,,,,,,,,,,1,,,SYB7361ZL.0,56,,,,,,,,,,,,1,,,120,248,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YFJ_MM,,UR271681804,1,23,11,17,23,SXD2621ZL.0,SXD2621ZL.0 WTP6741ZL.2/2SHB03,SXD2621ZL.0 WTP6741ZL.2/2SHB03,,22WNBPEYG6J1,,1,5,,,5,,,,,,,,,,,1,,,SXD2621ZL.0,58,,,,,,,,,,,,9,,,129,257,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112XX1_MM,,UR271681766,2,61,19,1,61,B2401PWU,B2401PWU,B2401PWU,,22WNBPEYG6J1,,2,5,,,3,,,,,,,,,,,1,,,B2401PWU,,,,,,,,,,,,,1,,,,,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YFP_MM,,UR271681743,2,84,23,25,84,SXF258WT.0,NS95VIP2,NS95VIP2,,22WNBPEYG6J1,,2,5,,,3,,,,,,,,,,,1,,,SXF258WT.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.15128,-10.01226,
