PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,BreedingStage,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,T,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
BRTR BL01,22WNMTYGLVGBL01,PLC4,BL01,LVG,L,21ALL112YG7_MM,,UR272563191,1,1164,25,16,164,SZ6995ZS.0,NS45VIP3,NS45VIP3,,22WNMTYGLVG,,3.0,,,,,,,,,,,,,,,,,,,SZ6995ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL28,22WNMTYGLVGBL28,PLC4,BL28,LVG,L,21ALL112YEY_MM,,UR272563364,1,1165,25,12,165,SX7005ZS.0,NK505VIP3,NK505VIP3,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,SX7005ZS.0,24,,,,,,,,,,,,5,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL18,22WNMTYGLVGBL18,PLC4,BL18,LVG,L,21ALL112YEY_MM,,UR272562515,1,1165,25,12,165,SX7005ZS.0,NK505VIP3,NK505VIP3,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,SX7005ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL10,22WNMTYGLVGBL10,PLC4,BL10,LVG,L,21ALL112YEY_MM,,UR272564519,1,1165,25,12,165,SX7005ZS.0,NK505VIP3,NK505VIP3,,22WNMTYGLVG,,3.0,,,,,,,,,,,,,,,,,,,SX7005ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL12,22WNMTYGLVGBL12,PLC4,BL12,LVG,L,21ALL112YEY_MM,,UR272565347,1,1165,18,17,165,SX7005ZS.0,NK505VIP3,NK505VIP3,,22WNMTYGLVG,,2.0,,,,,,,,,,,,,,,,,,,SX7005ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-56.14570000,-13.31910000,
BRTR BL01,22WNMTYGLVGBL01,PLC4,BL01,LVG,L,21ALL112YEY_MM,,UR272563190,1,1165,25,12,165,SX7005ZS.0,NK505VIP3,NK505VIP3,,22WNMTYGLVG,,2.0,,,,,,,,,,,,,,,,,,,SX7005ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL28,22WNMTYGLVGBL28,PLC4,BL28,LVG,L,21ALL112YFM_MM,,UR272563363,1,1166,25,8,166,SXD3249ZL.0,NS75VIP3,NS75VIP3,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,SXD3249ZL.0,25,,,,,,,,,,,,5,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL18,22WNMTYGLVGBL18,PLC4,BL18,LVG,L,21ALL112YFM_MM,,UR272562514,1,1166,25,8,166,SXD3249ZL.0,NS75VIP3,NS75VIP3,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,SXD3249ZL.0,,,,,,,,,,,,,1,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL10,22WNMTYGLVGBL10,PLC4,BL10,LVG,L,21ALL112YFM_MM,,UR272564518,1,1166,25,8,166,SXD3249ZL.0,NS75VIP3,NS75VIP3,,22WNMTYGLVG,,3.0,,,,,,,,,,,,,,,,,,,SXD3249ZL.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL12,22WNMTYGLVGBL12,PLC4,BL12,LVG,L,21ALL112YFM_MM,,UR272565346,1,1166,18,21,166,SXD3249ZL.0,NS75VIP3,NS75VIP3,,22WNMTYGLVG,,2.0,,,,,,,,,,,,,,,,,,,SXD3249ZL.0,,,,,,,,,,,,,,,,,,,,,,9,-56.14570000,-13.31910000,
