#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
,BRTR BC31 Astorga-PR,22WNACYGO4GBC31,BC31,O4G,21MT402964,,UR272418807,1,1103,9,208,103,8XHB86ZS.0/SWJ81,MT21402948,,,22WNACYGO4G,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,5,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC33 Itaporã-MS,22WNACYGO4CBC33,BC33,O4C,22AC653929,,UR272426967,1,1103,64,41,103,WTP6741ZL.1/WTP6741ZL.0/WYFA293,AC22000359,,,22WNACYGO4C,,,,,,,,,,,,,,,,,,7.0000,,,,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC33 Itaporã-MS,22WNACYGM4ABC33,BC33,M4A,21ALL112YFG_MM,,UR272439079,1,1103,12,9,103,SXD218ZS.0,NS80VIP3,NS80VIP3,,22WNACYGM4A,,,,,,,,,,,,,,,,,,4.0000,,,SXD218ZS.0,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC33 Itaporã-MS,22WNACYGO4EBC33,BC33,O4E,22AC654107,,UR272438651,1,1103,86,57,103,ACTTF511ZL.0/WYFA804,AC22003979,,,22WNACYGO4E,,,,,,,,,,,,,,,,,,4.0000,,,,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC33 Itaporã-MS,22WNACYGO4GBC33,BC33,O4G,21ALL11288L_MM,,UR272451665,1,1103,98,73,103,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNACYGO4G,,,,,,,,,,,,,,,,,,7.0000,,,SX5885ZS.0,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC31 Astorga-PR,22WNACYGM4DBC31,BC31,M4D,22AC651285,,UR272431017,1,1103,34,65,103,B7Y6Y842ZL.1/8XHB78,AC22001285,,,22WNACYGM4D,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC33 Itaporã-MS,22WNACYGM4CBC33,BC33,M4C,21ALL112YEX_MM,,UR272456189,1,1103,34,25,103,SX6003ZS.0,NK422VIP3,NK422VIP3,,22WNACYGM4C,,,,,,,,,,,,,,,,,,7.0000,,,SX6003ZS.0,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC33 Itaporã-MS,22WNACYGM4FBC33,BC33,M4F,22AC650787,,UR272425263,1,1103,71,24,103,8AHB14/2DEB35ZL.3,AC22000787,,,22WNACYGM4F,,,,,,,,,,,,,,,,,,4.0000,,,,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC31 Astorga-PR,22WNACYGM4HBC31,BC31,M4H,22AC652654,,UR272442029,1,1103,69,64,103,WYFB972/B6T7T943ZS.2,AC22002654,,,22WNACYGM4H,,,,,,,,2,,,,,,,,,,3.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC31 Astorga-PR,22WNACYGM4CBC31,BC31,M4C,21ALL112YEX_MM,,UR272442713,1,1103,25,96,103,SX6003ZS.0,NK422VIP3,NK422VIP3,,22WNACYGM4C,,,,,,,,,,,,,,,,,,4.0000,,,SX6003ZS.0,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
