#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK,PSS:VSCIN
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YEK_MM,,UR271682360,3,0151,37,1,151,SZE5130,NK508,NK508,,22WNBPEYG6J1,,2.0,,,,,,,,,,,,,,,,2.0000,,,SZE5130,,,,,15.70,,,,,,16.25,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YEY_MM,,UR271682481,1,0030,12,8,30,SX7005ZS.0,NK505VIP3,NK505VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,4.0000,,,SX7005ZS.0,53,,,,16.26,,,,,,21.30,,9,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YEY_MM,,UR271682424,2,0087,24,32,87,SX7005ZS.0,NK505VIP3,NK505VIP3,,22WNBPEYG6J1,,,,,,,2,,,,,,,,,,,3.0000,,,SX7005ZS.0,,,,,17.30,,,,,,20.80,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YEY_MM,,UR271682357,3,0154,37,25,154,SX7005ZS.0,NK505VIP3,NK505VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,SX7005ZS.0,,,,,14.80,,,,,,17.55,,1,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YF4_MM,,UR271682480,1,0031,13,1,31,SYN555 VIP3,NK555VIP3,NK555VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,4.0000,,,SX8934ZS.0,45,,,,13.52,,,,,,21.10,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YF4_MM,,UR271682429,2,0082,23,9,82,SYN555 VIP3,NK555VIP3,NK555VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,SX8934ZS.0,,,,,10.05,,,,,,18.05,,1,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YF4_MM,,UR271682345,3,0166,40,40,166,SYN555 VIP3,NK555VIP3,NK555VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,4.0000,,,SX8934ZS.0,,,,,12.58,,,,,,17.35,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YF3_MM,,UR271682479,1,0032,13,9,32,SX8394ZS.0,NS73VIP3,NS73VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,SX8394ZS.0,55,,,,15.59,,,,,,20.45,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YF3_MM,,UR271682406,2,0105,27,33,105,SX8394ZS.0,NS73VIP3,NS73VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,4.0000,,,SX8394ZS.0,,,,,16.64,,,,,,18.20,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YF3_MM,,UR271682353,3,0158,38,24,158,SX8394ZS.0,NS73VIP3,NS73VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,2.0000,,,SX8394ZS.0,,,,,11.44,,,,,,17.00,,9,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XXP_MM,,UR271682478,1,0033,13,17,33,P30F53VYHR,P30F53VYHR,P30F53VYHR,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,P30F53VYHR PI,68,,,,17.56,,,,,,20.25,,1,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XXP_MM,,UR271682402,2,0109,28,16,109,P30F53VYHR,P30F53VYHR,P30F53VYHR,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,P30F53VYHR PI,,,,,15.68,,,,,,15.40,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XXP_MM,,UR271682365,3,0146,36,40,146,P30F53VYHR,P30F53VYHR,P30F53VYHR,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,P30F53VYHR PI,,,,,15.26,,,,,,15.65,,9,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XWV_MM,,UR271682477,1,0034,13,25,34,AS1820PRO3,AS1820PRO3,AS1820PRO3,,22WNBPEYG6J1,,,,,,,1,,,,,,,,,,,3.0000,,,AS1820PRO3,60,,,,16.82,,,,,,16.10,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XWV_MM,,UR271682407,2,0104,27,25,104,AS1820PRO3,AS1820PRO3,AS1820PRO3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,AS1820PRO3,,,,,16.42,,,,,,15.10,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XWV_MM,,UR271682343,3,0168,40,24,168,AS1820PRO3,AS1820PRO3,AS1820PRO3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,4.0000,,,AS1820PRO3,,,,,17.71,,,,,,13.70,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XXN_MM,,UR271682476,1,0035,13,33,35,MG711PWU,MG711PWU,MG711PWU,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,4.0000,,,MG711PWU,61,,,,18.54,,,,,,21.50,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XXN_MM,,UR271682401,2,0110,28,8,110,MG711PWU,MG711PWU,MG711PWU,,22WNBPEYG6J1,,4.0,,,,,,,,,,,,,,,,3.0000,,,MG711PWU,,,,,19.62,,,,,,18.20,,9,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XXN_MM,,UR271682351,3,0160,38,8,160,MG711PWU,MG711PWU,MG711PWU,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,MG711PWU,,,,,17.97,,,,,,16.80,,1,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XXS_MM,,UR271682475,1,0036,14,40,36,P3707VYH,P3707VYH,P3707VYH,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,2.0000,,,P3707VYH PI,65,,,,17.64,,,,,,20.20,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XXS_MM,,UR271682420,2,0091,25,1,91,P3707VYH,P3707VYH,P3707VYH,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,1.0000,,,P3707VYH PI,,,,,18.45,,,,,,19.80,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XXS_MM,,UR271682362,3,0149,36,16,149,P3707VYH,P3707VYH,P3707VYH,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,2.0000,,,P3707VYH PI,,,,,14.81,,,,,,15.20,,1,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XWN_MM,,UR271682474,1,0037,14,32,37,P3898,P3898,P3898,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,P3898,60,,,,16.64,,,,,,17.30,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112XWN_MM,,UR271682397,2,0114,29,25,114,P3898,P3898,P3898,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,P3898,,,,,17.87,,,,,,15.05,,1,,,,,,,,,10,-47.96824000,-9.79848000,,
